2022/05/31 04:08:26 [error] 6286#6286: *25386 open() "/var/www/html/boaform/admin/formLogin" failed (2: No such file or directory), client: 103.161.17.72, server: localhost-nginx-proxy-manager, request: "POST /boaform/admin/formLogin HTTP/1.1", host: "186.104.67.127:80", referrer: "http://186.104.67.127:80/admin/login.asp"
2022/05/31 04:33:45 [error] 6334#6334: *25388 open() "/var/www/html/editBlackAndWhiteList" failed (2: No such file or directory), client: 121.161.237.204, server: localhost-nginx-proxy-manager, request: "POST /editBlackAndWhiteList HTTP/1.1", host: "186.104.67.127:8000"
2022/05/31 05:20:09 [alert] 6334#6334: 1024 worker_connections are not enough
2022/05/31 05:20:09 [error] 6330#6330: *27416 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "186.104.67.127"
2022/05/31 05:20:11 [error] 6334#6334: *27418 open() "/var/www/html/robots.txt" failed (2: No such file or directory), client: 23.225.163.199, server: localhost-nginx-proxy-manager, request: "GET /robots.txt HTTP/1.1", host: "186.104.67.127"
2022/05/31 05:20:11 [error] 6334#6334: *27419 open() "/var/www/html/sitemap.xml" failed (2: No such file or directory), client: 23.225.163.199, server: localhost-nginx-proxy-manager, request: "GET /sitemap.xml HTTP/1.1", host: "186.104.67.127"
2022/05/31 05:34:40 [error] 6369#6369: *27424 open() "/var/www/html/robots.txt" failed (2: No such file or directory), client: 20.247.96.144, server: localhost-nginx-proxy-manager, request: "HEAD /robots.txt HTTP/1.0"
2022/05/31 06:08:53 [error] 6369#6369: *27429 open() "/var/www/html/config/getuser" failed (2: No such file or directory), client: 37.0.11.215, server: localhost-nginx-proxy-manager, request: "GET /config/getuser?index=0 HTTP/1.1", host: "186.104.67.127:80"
2022/05/31 08:29:02 [error] 6480#6480: *27452 open() "/var/www/html/hudson" failed (2: No such file or directory), client: 192.241.219.209, server: localhost-nginx-proxy-manager, request: "GET /hudson HTTP/1.1", host: "186.104.67.127"
2022/05/31 10:12:04 [error] 6516#6516: *27468 open() "/var/www/html/portal/redlion" failed (2: No such file or directory), client: 192.241.203.228, server: localhost-nginx-proxy-manager, request: "GET /portal/redlion HTTP/1.1", host: "186.104.67.127"
2022/05/31 10:16:30 [error] 6516#6516: *27470 open() "/var/www/html/actuator/health" failed (2: No such file or directory), client: 192.241.223.39, server: localhost-nginx-proxy-manager, request: "GET /actuator/health HTTP/1.1", host: "186.104.67.127"
2022/05/31 11:49:38 [error] 6601#6601: *27475 open() "/var/www/html/editBlackAndWhiteList" failed (2: No such file or directory), client: 164.163.25.191, server: localhost-nginx-proxy-manager, request: "POST /editBlackAndWhiteList HTTP/1.1", host: "186.104.67.127:82"
2022/06/01 03:03:11 [alert] 7164#7164: 1024 worker_connections are not enough
2022/06/01 03:03:11 [error] 7167#7167: *29661 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "186.104.67.127"
2022/06/01 03:31:20 [error] 7196#7196: *29664 open() "/var/www/html/db/dbadmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/dbadmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:20 [error] 7196#7196: *29664 open() "/var/www/html/db/webadmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/webadmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
